Year,Industry_aggregation_NZSIOC,Industry_code_NZSIOC,Industry_name_NZSIOC,Units,Variable_code,Variable_name,Variable_category,Value,Industry_code_ANZSIC06,ID,name_x,natinc19,net_internal_mig19,net_international_mig_19,netmig19,popchange19,natinc20,net_internal_mig20,net_international_mig_20,netmig20,popchange20,natinc21,net_internal_mig21,net_international_mig_21,netmig21,popchange21,yearofbirth,sex,age,percentile,lx,llx,dx,px,qx,mx,sx,ex,name_y,erp18,erp19,erp20,erp21,avann1820num,avann1820per,chg2021num,chg2021per
2021,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H29,Other assets,Financial position,"2,841","ANZSIC06 groups A011, A012, and A013",81,Waitaki district,-10,170.0,140.0,300,290,-10,170.0,260.0,420,410,-30,140.0,50.0,200,170,1876,female,26,median,73707,73509,396,0.9946,0.0054,0.0054,0.9948,45.4,Waitaki district,22900,23200,23600,23800,350,1.5,170,0.7
2021,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H30,Total equity and liabilities,Financial position,"16,790","ANZSIC06 groups A011, A012, and A013",82,Central Otago district,80,420.0,310.0,730,800,80,470.0,650.0,1100,1200,60,410.0,110.0,520,580,1876,female,27,5,73311,73124,374,0.9949,0.0051,0.0051,0.9949,44.6,Central Otago district,22200,23000,24200,24800,1000,4.4,580,2.4
2021,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H31,Shareholders funds or owners equity,Financial position,"8,200","ANZSIC06 groups A011, A012, and A013",83,Queenstown-Lakes district,330,810.0,1200.0,2000,2400,360,890.0,1300.0,2200,2600,410,860.0,-390.0,470,880,1876,female,27,95,73311,73124,374,0.9949,0.0051,0.0051,0.9949,44.6,Queenstown-Lakes district,42500,44800,47400,48300,2500,5.7,880,1.9
2021,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H32,Current liabilities,Financial position,"3,615","ANZSIC06 groups A011, A012, and A013",84,Dunedin city,170,-90.0,790.0,700,860,120,-850.0,1500.0,650,770,260,100.0,70.0,180,430,1876,female,27,median,73311,73124,374,0.9949,0.0051,0.0051,0.9949,44.6,Dunedin city,131200,132100,132800,133300,820,0.6,430,0.3
2021,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H33,Other liabilities,Financial position,"4,975","ANZSIC06 groups A011, A012, and A013",85,Clutha district,40,20.0,60.0,80,120,80,20.0,150.0,170,250,80,-10.0,0.0,0,70,1876,female,28,5,72937,72748,378,0.9948,0.0052,0.0052,0.9949,43.9,Clutha district,18050,18150,18400,18500,190,1.0,70,0.4
2021,Level 3,AA11,Horticulture and Fruit Growing,Dollars,H34,Total income per employee count,Financial ratios,"204,000","ANZSIC06 groups A011, A012, and A013",86,Southland district,200,-160.0,270.0,120,320,230,-80.0,370.0,290,520,180,-180.0,30.0,-140,30,1876,female,28,95,72937,72748,378,0.9948,0.0052,0.0052,0.9949,43.9,Southland district,31900,32200,32700,32700,420,1.3,30,0.1
2021,Level 3,AA11,Horticulture and Fruit Growing,Dollars,H35,Surplus per employee count,Financial ratios,"38,700","ANZSIC06 groups A011, A012, and A013",87,Gore district,-20,40.0,40.0,80,60,-20,30.0,140.0,170,150,-10,20.0,10.0,40,30,1876,female,28,median,72937,72748,378,0.9948,0.0052,0.0052,0.9949,43.9,Gore district,12800,12850,13000,13050,110,0.8,30,0.2
2021,Level 3,AA11,Horticulture and Fruit Growing,Percentage,H36,Current ratio,Financial ratios,80,"ANZSIC06 groups A011, A012, and A013",88,Invercargill city,120,-180.0,750.0,570,690,20,-190.0,760.0,570,590,10,-260.0,70.0,-190,-180,1876,female,29,5,72559,72379,361,0.995,0.005,0.005,0.995,43.1,Invercargill city,55900,56600,57100,57000,640,1.1,-180,-0.3
2021,Level 3,AA11,Horticulture and Fruit Growing,Percentage,H37,Quick ratio,Financial ratios,70,"ANZSIC06 groups A011, A012, and A013",89,New Zealand,26500,0.0,52100.0,52100,78600,26200,0.0,84800.0,84800,111000,27700,0.0,4700.0,4700,32400,1876,female,29,95,72559,72379,361,0.995,0.005,0.005,0.995,43.1,New Zealand,4900600,4979200,5090200,5122600,94800,1.9,32400,0.6
2021,Level 3,AA11,Horticulture and Fruit Growing,Percentage,H39,Return on equity,Financial ratios,12,"ANZSIC06 groups A011, A012, and A013",90,Northland region,600,,,2700,3300,670,,,4600,5200,650,,,3000,3600,1876,female,29,median,72559,72379,361,0.995,0.005,0.005,0.995,43.1,Northland region,185800,189100,194300,197900,4300,2.3,3600,1.9
2021,Level 3,AA11,Horticulture and Fruit Growing,Percentage,H40,Return on total assets,Financial ratios,6,"ANZSIC06 groups A011, A012, and A013",91,Auckland region,12800,,,13600,26500,12900,,,22600,35600,12900,,,-14200,-1300,1876,female,30,5,72198,72019,360,0.995,0.005,0.005,0.9952,42.3,Auckland region,1654800,1681300,1716900,1715600,31000,1.9,-1280,-0.1
2021,Level 3,AA11,Horticulture and Fruit Growing,Percentage,H41,Liabilities structure,Financial ratios,49,"ANZSIC06 groups A011, A012, and A013",92,Waikato region,3000,,,7100,10100,2800,,,10800,13600,3100,,,3600,6700,1876,female,30,95,72198,72019,360,0.995,0.005,0.005,0.9952,42.3,Waikato region,475600,485700,499300,506000,11900,2.5,6700,1.3
2021,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H01,Total income,Financial performance,"5,394","ANZSIC06 groups A011, A012, and A013",93,Bay of Plenty region,1400,,,6000,7400,1500,,,8700,10200,1700,,,3200,4900,1876,female,30,median,72198,72019,360,0.995,0.005,0.005,0.9952,42.3,Bay of Plenty region,320800,328200,338400,343400,8800,2.7,4900,1.5
2021,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H04,"Sales, government funding, grants and subsidies",Financial performance,"4,925","ANZSIC06 groups A011, A012, and A013",94,Gisborne region,280,,,430,710,250,,,640,890,290,,,40,330,1876,female,31,5,71839,71676,326,0.9955,0.0045,0.0046,0.9956,41.5,Gisborne region,49500,50200,51100,51500,800,1.6,330,0.6
2021,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,205,"ANZSIC06 groups A011, A012, and A013",95,Hawke's Bay region,560,,,1900,2400,590,,,4200,4800,690,,,1200,1800,1876,female,31,95,71839,71676,326,0.9955,0.0045,0.0046,0.9956,41.5,Hawke's Bay region,172400,174900,179700,181500,3600,2.1,1800,1.0
2021,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H07,Non-operating income,Financial performance,264,"ANZSIC06 groups A011, A012, and A013",96,Taranaki region,650,,,1200,1900,410,,,1800,2200,570,,,630,1200,1876,female,31,median,71839,71676,326,0.9955,0.0045,0.0046,0.9956,41.5,Taranaki region,121200,123100,125200,126400,2000,1.6,1200,1.0
2021,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H08,Total expenditure,Financial performance,"4,374","ANZSIC06 groups A011, A012, and A013",97,Manawatū-Whanganui region,880,,,2200,3100,870,,,3100,3900,940,,,1100,2000,1876,female,32,5,71512,71359,307,0.9957,0.0043,0.0043,0.9953,40.7,Manawatū-Whanganui region,247500,250600,254500,256500,3500,1.4,2000,0.8
2021,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H09,Interest and donations,Financial performance,181,"ANZSIC06 groups A011, A012, and A013",98,Wellington region,2500,,,4200,6700,2500,,,7900,10400,2700,,,1300,4000,1876,female,32,95,71512,71359,307,0.9957,0.0043,0.0043,0.9953,40.7,Wellington region,525900,532600,543000,547000,8500,1.6,4000,0.7
2021,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H10,Indirect taxes,Financial performance,35,"ANZSIC06 groups A011, A012, and A013",99,Tasman region,40,,,830,870,40,,,2000,2100,150,,,720,870,1876,female,32,median,71512,71359,307,0.9957,0.0043,0.0043,0.9953,40.7,Tasman region,54000,54900,57000,57900,1500,2.7,870,1.5
2021,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H11,Depreciation,Financial performance,278,"ANZSIC06 groups A011, A012, and A013",100,Nelson region,60,,,630,690,110,,,1200,1300,40,,,0,40,1876,female,33,5,71205,71023,364,0.9949,0.0051,0.0051,0.9949,39.9,Nelson region,52700,53400,54700,54700,1000,1.9,40,0.1
